id,action,details,ip_address,timestamp,user_id,publication_id
1,update,"{""title"": ""\u041b\u0430\u0432\u0440\u0438\u043d\u043e\u0432, \u0412.\u0412. \u041d\u0435\u0432\u043e\u0437\u0432\u0440\u0430\u0449\u0435\u043d\u0438\u0435 \u0438 \u043a\u043e\u043d\u0442\u0440\u0430\u0431\u0430\u043d\u0434\u0430 \u043a\u0443\u043b\u044c\u0442\u0443\u0440\u043d\u044b\u0445 \u0446\u0435\u043d\u043d\u043e\u0441\u0442\u0435\u0439: \u0432\u043e\u043f\u0440\u043e\u0441\u044b \u0443\u0433\u043e\u043b\u043e\u0432\u043d\u043e\u0439 \u043e\u0442\u0432\u0435\u0442\u0441\u0442\u0432\u0435\u043d\u043d\u043e\u0441\u0442\u0438 \u0438 \u043a\u0432\u0430\u043b\u0438\u0444\u0438\u043a\u0430\u0446\u0438\u0438 // \u0412\u0435\u0441\u0442\u043d\u0438\u043a \u0420\u043e\u0441\u0441\u0438\u0439\u0441\u043a\u043e\u0439 \u0442\u0430\u043c\u043e\u0436\u0435\u043d\u043d\u043e\u0439 \u0430\u043a\u0430\u0434\u0435\u043c\u0438\u0438. \u2013 2026. \u2013 \u2116 1(74). \u2013 \u0421. 187-198."", ""changed_fields"": [""result"", ""circulation""]}",,2026-05-15 11:28:29.411280,1,7664
2,update,"{""title"": ""\u041b\u0430\u0432\u0440\u0438\u043d\u043e\u0432, \u0412.\u0412. \u041d\u0435\u0432\u043e\u0437\u0432\u0440\u0430\u0449\u0435\u043d\u0438\u0435 \u0438 \u043a\u043e\u043d\u0442\u0440\u0430\u0431\u0430\u043d\u0434\u0430 \u043a\u0443\u043b\u044c\u0442\u0443\u0440\u043d\u044b\u0445 \u0446\u0435\u043d\u043d\u043e\u0441\u0442\u0435\u0439: \u0432\u043e\u043f\u0440\u043e\u0441\u044b \u0443\u0433\u043e\u043b\u043e\u0432\u043d\u043e\u0439 \u043e\u0442\u0432\u0435\u0442\u0441\u0442\u0432\u0435\u043d\u043d\u043e\u0441\u0442\u0438 \u0438 \u043a\u0432\u0430\u043b\u0438\u0444\u0438\u043a\u0430\u0446\u0438\u0438 // \u0412\u0435\u0441\u0442\u043d\u0438\u043a \u0420\u043e\u0441\u0441\u0438\u0439\u0441\u043a\u043e\u0439 \u0442\u0430\u043c\u043e\u0436\u0435\u043d\u043d\u043e\u0439 \u0430\u043a\u0430\u0434\u0435\u043c\u0438\u0438. \u2013 2026. \u2013 \u2116 1(74). \u2013 \u0421. 187-198."", ""changed_fields"": [""note"", ""result"", ""circulation"", ""students_count"", ""pages_count""]}",,2026-05-15 11:29:01.051815,1,7664
3,update,"{""title"": ""\u041b\u0430\u0432\u0440\u0438\u043d\u043e\u0432, \u0412.\u0412. \u041d\u0435\u0432\u043e\u0437\u0432\u0440\u0430\u0449\u0435\u043d\u0438\u0435 \u0438 \u043a\u043e\u043d\u0442\u0440\u0430\u0431\u0430\u043d\u0434\u0430 \u043a\u0443\u043b\u044c\u0442\u0443\u0440\u043d\u044b\u0445 \u0446\u0435\u043d\u043d\u043e\u0441\u0442\u0435\u0439: \u0432\u043e\u043f\u0440\u043e\u0441\u044b \u0443\u0433\u043e\u043b\u043e\u0432\u043d\u043e\u0439 \u043e\u0442\u0432\u0435\u0442\u0441\u0442\u0432\u0435\u043d\u043d\u043e\u0441\u0442\u0438 \u0438 \u043a\u0432\u0430\u043b\u0438\u0444\u0438\u043a\u0430\u0446\u0438\u0438 // \u0412\u0435\u0441\u0442\u043d\u0438\u043a \u0420\u043e\u0441\u0441\u0438\u0439\u0441\u043a\u043e\u0439 \u0442\u0430\u043c\u043e\u0436\u0435\u043d\u043d\u043e\u0439 \u0430\u043a\u0430\u0434\u0435\u043c\u0438\u0438. \u2013 2026. \u2013 \u2116 1(74). \u2013 \u0421. 187-198."", ""changed_fields"": [""result"", ""students_count"", ""pages_count"", ""circulation""]}",,2026-05-15 11:29:09.135637,1,7664
4,update,"{""title"": ""\u041b\u0430\u0432\u0440\u0438\u043d\u043e\u0432, \u0412.\u0412. \u041d\u0435\u0432\u043e\u0437\u0432\u0440\u0430\u0449\u0435\u043d\u0438\u0435 \u0438 \u043a\u043e\u043d\u0442\u0440\u0430\u0431\u0430\u043d\u0434\u0430 \u043a\u0443\u043b\u044c\u0442\u0443\u0440\u043d\u044b\u0445 \u0446\u0435\u043d\u043d\u043e\u0441\u0442\u0435\u0439: \u0432\u043e\u043f\u0440\u043e\u0441\u044b \u0443\u0433\u043e\u043b\u043e\u0432\u043d\u043e\u0439 \u043e\u0442\u0432\u0435\u0442\u0441\u0442\u0432\u0435\u043d\u043d\u043e\u0441\u0442\u0438 \u0438 \u043a\u0432\u0430\u043b\u0438\u0444\u0438\u043a\u0430\u0446\u0438\u0438 // \u0412\u0435\u0441\u0442\u043d\u0438\u043a \u0420\u043e\u0441\u0441\u0438\u0439\u0441\u043a\u043e\u0439 \u0442\u0430\u043c\u043e\u0436\u0435\u043d\u043d\u043e\u0439 \u0430\u043a\u0430\u0434\u0435\u043c\u0438\u0438. \u2013 2026. \u2013 \u2116 1(74). \u2013 \u0421. 187-198."", ""changed_fields"": [""year"", ""students_count"", ""pages_count"", ""result"", ""circulation""]}",,2026-05-15 11:29:23.414188,1,7664
5,update,"{""title"": ""\u041b\u0430\u0432\u0440\u0438\u043d\u043e\u0432, \u0412.\u0412. \u041d\u0435\u0432\u043e\u0437\u0432\u0440\u0430\u0449\u0435\u043d\u0438\u0435 \u0438 \u043a\u043e\u043d\u0442\u0440\u0430\u0431\u0430\u043d\u0434\u0430 \u043a\u0443\u043b\u044c\u0442\u0443\u0440\u043d\u044b\u0445 \u0446\u0435\u043d\u043d\u043e\u0441\u0442\u0435\u0439: \u0432\u043e\u043f\u0440\u043e\u0441\u044b \u0443\u0433\u043e\u043b\u043e\u0432\u043d\u043e\u0439 \u043e\u0442\u0432\u0435\u0442\u0441\u0442\u0432\u0435\u043d\u043d\u043e\u0441\u0442\u0438 \u0438 \u043a\u0432\u0430\u043b\u0438\u0444\u0438\u043a\u0430\u0446\u0438\u0438 // \u0412\u0435\u0441\u0442\u043d\u0438\u043a \u0420\u043e\u0441\u0441\u0438\u0439\u0441\u043a\u043e\u0439 \u0442\u0430\u043c\u043e\u0436\u0435\u043d\u043d\u043e\u0439 \u0430\u043a\u0430\u0434\u0435\u043c\u0438\u0438. \u2013 2026. \u2013 \u2116 1(74). \u2013 \u0421. 187-198."", ""changed_fields"": [""pages_count"", ""result"", ""circulation"", ""students_count""]}",,2026-05-15 11:30:08.578265,1,7664
6,create,"{""title"": ""\u0430\u043f""}",,2026-05-15 11:30:53.261436,1,7665
7,update,"{""title"": ""\u0430\u043f\u0430\u043f"", ""changed_fields"": [""title"", ""author"", ""head"", ""executors"", ""location"", ""event_name"", ""funding_source"", ""volume"", ""note"", ""students_names"", ""year"", ""students_count"", ""pages_count"", ""result"", ""department"", ""entry_month"", ""event_date"", ""circulation""]}",,2026-05-15 11:30:59.339266,1,7665
8,moderation_approved,"{""old_status"": ""approved"", ""new_status"": ""approved"", ""comment"": ""\u0422\u0435\u0441\u0442\u043e\u0432\u043e\u0435 \u043e\u0434\u043e\u0431\u0440\u0435\u043d\u0438\u0435""}",,2026-05-15 11:32:50.440789,1,7664
9,moderation_approved,"{""old_status"": ""pending"", ""new_status"": ""approved"", ""comment"": ""\u041e\u0434\u043e\u0431\u0440\u0435\u043d\u043e""}",,2026-05-15 11:34:04.343947,1,7666
10,moderation_approved,"{""old_status"": ""pending"", ""new_status"": ""approved"", ""comment"": ""\u0422\u0435\u0441\u0442\u043e\u0432\u044b\u0439 \u043a\u043e\u043c\u043c\u0435\u043d\u0442\u0430\u0440\u0438\u0439""}",,2026-05-15 11:35:23.405587,1,7667
