id,app,name,applied
1,contenttypes,0001_initial,2026-05-12 07:35:00.853968
2,contenttypes,0002_remove_content_type_name,2026-05-12 07:35:01.232138
3,auth,0001_initial,2026-05-12 07:35:01.820617
4,auth,0002_alter_permission_name_max_length,2026-05-12 07:35:02.079828
5,auth,0003_alter_user_email_max_length,2026-05-12 07:35:02.368876
6,auth,0004_alter_user_username_opts,2026-05-12 07:35:02.381848
7,auth,0005_alter_user_last_login_null,2026-05-12 07:35:02.388889
8,auth,0006_require_contenttypes_0002,2026-05-12 07:35:02.397370
9,auth,0007_alter_validators_add_error_messages,2026-05-12 07:35:02.405062
10,auth,0008_alter_user_username_max_length,2026-05-12 07:35:02.416126
11,auth,0009_alter_user_last_name_max_length,2026-05-12 07:35:02.424059
12,auth,0010_alter_group_name_max_length,2026-05-12 07:35:02.437763
13,auth,0011_update_proxy_permissions,2026-05-12 07:35:02.446125
14,auth,0012_alter_user_first_name_max_length,2026-05-12 07:35:02.457189
15,users,0001_initial,2026-05-12 07:35:02.477892
16,admin,0001_initial,2026-05-12 07:35:02.496261
17,admin,0002_logentry_remove_auto_add,2026-05-12 07:35:02.513640
18,admin,0003_logentry_add_action_flag_choices,2026-05-12 07:35:02.528355
19,core,0001_initial,2026-05-12 07:35:02.536624
20,core,0002_initial,2026-05-12 07:35:02.680341
21,core,0003_publication_keywords,2026-05-12 07:35:02.702540
22,core,0004_publication_moderated_at_publication_moderated_by_and_more,2026-05-12 07:35:02.792802
23,core,0005_publication_citation_db,2026-05-12 07:35:02.818382
24,core,0006_add_new_publication_fields,2026-05-12 07:35:03.188331
25,core,0007_increase_title_author_length,2026-05-12 07:35:03.235411
26,core,0008_increase_title_author_length,2026-05-12 07:35:03.256310
27,core,0009_add_is_archived_field,2026-05-12 07:35:03.312974
28,core,0010_alter_publication_entry_month,2026-05-12 07:35:03.343983
29,sessions,0001_initial,2026-05-12 07:35:03.359760
30,users,0002_department,2026-05-12 07:35:03.385655
31,users,0003_add_nio_staff_role,2026-05-15 12:51:48.609130
